---,BaseValue,MinValue,MaxValue,DerivedAttributeInfo,bCanStack
ControllableEntityAttributeSet.Health,100.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.MaxHealth,100.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.Mana,20.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.MaxMana,20.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.Initiative,15.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.InitiativeVariation,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.MartialPoint,1.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.MaxMartialPoint,1.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.Strength,5.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.Experience,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.ExperienceToLevelUp,10.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.Level,1.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.UnassignedStatPoints,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.MagicPoint,1.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.MaxMagicPoint,1.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.Movement,10000.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.MaxMovement,10000.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.DamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.Intelligence,5.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.Stamina,5.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.PhysicalDamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.MagicalDamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.BluntDamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.PiercingDamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.SlashDamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.FireDamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.FrostDamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.NatureDamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.ShadowDamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.LightDamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.ArcaneDamageMultiplier,0.000000,0.000000,1.000000,,False
ControllableEntityAttributeSet.PoisonDamageMultiplier,0.000000,0.000000,1.000000,,False
